gene_id_base	pct_samples_tpm_gt_0.1	mean_tpm_gene	gene_name	gene_type	chrom	gene_start	gene_end	strand	gene_length_abs	n_isoforms_gencode	n_protein_coding_isoforms	n_nmd_isoforms	n_distinct_tss	n_distinct_transcript_ends	sum_mean_tpm_transcripts	n_isoforms_in_tpm_file	n_isoforms_mean_tpm_gt_0.1	max_isoform_mean_tpm	n_isoforms_ge_10pct_of_max_isoform_mean	gene_length_model_exons_union	n_distinct_exons	n_exon_blocks_merged	cds_length_union_protein_coding	n_distinct_cds_exons	n_cds_exon_blocks_merged	cds_fraction_of_exonic_length	utr5_length_union_all_pc	utr3_length_union_all_pc	n_distinct_cds_start_positions	n_distinct_cds_end_positions	n_distinct_5prime_utr_only_terminal_exons	n_distinct_3prime_utr_only_terminal_exons	canonical_transcript_id	gene_length_canonical_exons_union	cds_length_canonical_union	utr5_length_canonical	utr3_length_canonical	n_exons_canonical	n_cds_exons_canonical	sum_tx_tpm_over_gene_tpm	frac_isoforms_mean_tpm_gt_0.1
ENSG00000308314	1.7543859649122806	0.009515146198830413	ENSG00000308314	lncRNA	chr1	96638	105742	+	9105	3	0	0	2	3	0.013918128654970757	3	0	0.010438596491228067	2	1704	5	4	0	0	0	0.0	0	0	0	0	0	0	ENST00000833190	1280	0			2	0	1.4627340835479283	0.0
ENSG00000233750	10.818713450292398	0.04063302339181288	CICP27	processed_pseudogene	chr1	131025	134836	+	3812	1	0	0	1	1	0.0	1	0	0.0	1	3812	1	1	0	0	0	0.0	0	0	0	0	0	0	ENST00000442987	3812	0			1	0	0.0	0.0
ENSG00000308579	53.216374269005854	0.5805767017543859	ENSG00000308579	lncRNA	chr1	134914	136246	-	1333	1	0	0	1	1	0.9352923976608184	1	1	0.9352923976608184	1	797	2	2	0	0	0	0.0	0	0	0	0	0	0	ENST00000835176	797	0			2	0	1.6109712891243364	1.0
ENSG00000268903	5.555555555555555	0.012232312865497075	ENSG00000268903	transcribed_processed_pseudogene	chr1	135141	135895	-	755	1	0	0	1	1	1.0283625730994148	1	1	1.0283625730994148	1	755	1	1	0	0	0	0.0	0	0	0	0	0	0	ENST00000494149	755	0			1	0	84.06934848764809	1.0
ENSG00000269981	69.2982456140351	1.66588650877193	ENSG00000269981	transcribed_processed_pseudogene	chr1	137682	137965	-	284	1	0	0	1	1	1.443888888888889	1	1	1.443888888888889	1	284	1	1	0	0	0	0.0	0	0	0	0	0	0	ENST00000595919	284	0			1	0	0.8667390493205358	1.0
ENSG00000239906	3.216374269005848	0.0077279356725146195	ENSG00000239906	lncRNA	chr1	139790	140339	-	550	1	0	0	1	1	0.5996491228070175	1	1	0.5996491228070175	1	323	2	2	0	0	0	0.0	0	0	0	0	0	0	ENST00000493797	323	0			2	0	77.59499408616269	1.0
ENSG00000222623	0.0	0.0	RNU6-1100P	snRNA	chr1	157784	157887	-	104	1	0	0	1	1	0.0	1	0	0.0	1	104	1	1	0	0	0	0.0	0	0	0	0	0	0	ENST00000410691	104	0			1	0		0.0
ENSG00000241599	0.5847953216374269	0.0015017690058479532	ENSG00000241599	lncRNA	chr1	160446	161525	+	1080	1	0	0	1	1	0.001345029239766082	1	0	0.001345029239766082	1	457	2	2	0	0	0	0.0	0	0	0	0	0	0	ENST00000496488	457	0			2	0	0.8956299101449559	0.0
ENSG00000308415	100.0	5.9210693391812885	DDX11L2	lncRNA	chr1	180931	184937	+	4007	42	0	0	31	7	0.11742690058479532	42	0	0.011345029239766082	26	3079	62	5	0	0	0	0.0	0	0	0	0	0	0	ENST00000833856	1446	0			4	0	0.019832042804793778	0.0
ENSG00000310527	85.67251461988305	0.5220785175438593	WASH9P	lncRNA	chr1	182146	201244	-	19099	331	0	0	43	33	16.315380116959066	331	26	6.982543859649126	2	7602	160	12	0	0	0	0.0	0	0	0	0	0	0	ENST00000831131	638	0			3	0	31.25081681911654	0.07854984894259819
ENSG00000308625	6.140350877192982	0.027261947368421066	ENSG00000308625	lncRNA	chr1	199108	199882	+	775	2	0	0	1	2	0.002251461988304094	2	0	0.002251461988304094	1	637	4	2	0	0	0	0.0	0	0	0	0	0	0	ENST00000835446	518	0			2	0	0.08258624953960846	0.0
ENSG00000308544	2.631578947368421	0.010668242690058479	ENSG00000308544	lncRNA	chr1	199948	201629	+	1682	1	0	0	1	1	0.0010233918128654971	1	0	0.0010233918128654971	1	546	2	2	0	0	0	0.0	0	0	0	0	0	0	ENST00000834919	546	0			2	0	0.09592880876427524	0.0
ENSG00000292994	62.57309941520468	0.2455677573099415	ENSG00000292994	lncRNA	chr1	257864	359681	-	101818	10	0	0	9	9	0.6739766081871346	10	2	0.3574269005847953	4	9218	23	12	0	0	0	0.0	0	0	0	0	0	0	ENST00000441866	2256	0			4	0	2.7445647407875295	0.2
ENSG00000306775	50.58479532163743	0.1425876023391813	ENSG00000306775	lncRNA	chr1	258696	266103	+	7408	1	0	0	1	1	0.013391812865497076	1	0	0.013391812865497076	1	1135	3	3	0	0	0	0.0	0	0	0	0	0	0	ENST00000820923	1135	0			3	0	0.09391989658147981	0.0
ENSG00000286448	23.684210526315788	0.06673861403508771	ENSG00000286448	lncRNA	chr1	266753	284291	+	17539	10	0	0	9	9	0.0835672514619883	10	0	0.02847953216374268	5	3435	23	10	0	0	0	0.0	0	0	0	0	0	0	ENST00000784892	527	0			4	0	1.2521574304502783	0.0
ENSG00000236679	0.0	0.0	RPL23AP24	transcribed_processed_pseudogene	chr1	347982	348366	-	385	1	0	0	1	1	0.7414619883040934	1	1	0.7414619883040934	1	385	1	1	0	0	0	0.0	0	0	0	0	0	0	ENST00000458203	385	0			1	0	inf	1.0
ENSG00000236601	3.216374269005848	0.025160421052631575	ENSG00000236601	lncRNA	chr1	356138	366052	+	9915	5	0	0	5	5	0.01631578947368421	5	0	0.010321637426900584	4	1931	10	5	0	0	0	0.0	0	0	0	0	0	0	ENST00000797151	620	0			2	0	0.6484704464823617	0.0
ENSG00000290385	29.82456140350877	0.09657001169590645	ENSG00000290385	lncRNA	chr1	365127	532459	-	167333	27	0	0	23	27	2.871286549707602	27	5	0.9585672514619881	6	8048	68	28	0	0	0	0.0	0	0	0	0	0	0	ENST00000455207	413	0			3	0	29.732693403301248	0.18518518518518517
ENSG00000269732	17.83625730994152	0.04877311988304094	WBP1LP7	processed_pseudogene	chr1	439870	440232	+	363	1	0	0	1	1	0.0	1	0	0.0	1	363	1	1	0	0	0	0.0	0	0	0	0	0	0	ENST00000437905	363	0			1	0	0.0	0.0
ENSG00000284733	26.31578947368421	0.1472218157894736	OR4F29	protein_coding	chr1	450740	451678	-	939	1	1	0	1	1	0.0055555555555555575	1	0	0.0055555555555555575	1	939	1	1	936	1	1	0.9968051118210862	0	3	1	1	0	0	ENST00000426406	939	936	0.0	3.0	1	1	0.037735953233316806	0.0
ENSG00000233653	0.0	0.008970073099415204	CICP7	transcribed_processed_pseudogene	chr1	487101	489906	+	2806	1	0	0	1	1	0.0	1	0	0.0	1	2477	2	2	0	0	0	0.0	0	0	0	0	0	0	ENST00000432723	2477	0			2	0	0.0	0.0
ENSG00000250575	10.526315789473683	0.0391504912280702	ENSG00000250575	unprocessed_pseudogene	chr1	491225	493241	-	2017	1	0	0	1	1	0.686374269005848	1	1	0.686374269005848	1	1239	2	2	0	0	0	0.0	0	0	0	0	0	0	ENST00000514436	1239	0			2	0	17.53168983263561	1.0
ENSG00000278757	0.0	0.0	U6	snRNA	chr1	516376	516479	-	104	1	0	0	1	1	0.0	1	0	0.0	1	104	1	1	0	0	0	0.0	0	0	0	0	0	0	ENST00000614007	104	0			1	0		0.0
ENSG00000293331	10.23391812865497	0.04625335087719297	ENSG00000293331	lncRNA	chr1	586054	633129	-	47076	11	0	0	11	9	0.052807017543859656	11	0	0.030789473684210533	3	4585	27	15	0	0	0	0.0	0	0	0	0	0	0	ENST00000440196	1022	0			5	0	1.1416906352161877	0.0
ENSG00000225880	87.71929824561403	0.36286445029239744	LINC00115	lncRNA	chr1	586945	827989	-	241045	92	0	0	62	65	5.3747660818713445	92	14	1.7235964912280697	4	23626	171	42	0	0	0	0.0	0	0	0	0	0	0	ENST00000634337	891	0			5	0	14.812049175774423	0.15217391304347827
ENSG00000235146	2.046783625730994	0.01790259064327486	ENSG00000235146	lncRNA	chr1	587577	595116	+	7540	4	0	0	4	4	0.002134502923976608	4	0	0.0014035087719298245	3	1766	8	4	0	0	0	0.0	0	0	0	0	0	0	ENST00000423796	625	0			2	0	0.11922871759224622	0.0
ENSG00000225972	100.0	108.33561502923973	MTND1P23	unprocessed_pseudogene	chr1	629062	629433	+	372	1	0	0	1	1	33.69751461988306	1	1	33.69751461988306	1	372	1	1	0	0	0	0.0	0	0	0	0	0	0	ENST00000416931	372	0			1	0	0.31104742988525164	1.0
ENSG00000225630	100.0	142.3427643567251	MTND2P28	unprocessed_pseudogene	chr1	629640	630683	+	1044	1	0	0	1	1	44.07578947368422	1	1	44.07578947368422	1	1044	1	1	0	0	0	0.0	0	0	0	0	0	0	ENST00000457540	1044	0			1	0	0.30964545105521424	1.0
ENSG00000237973	100.0	169.82291438596494	MTCO1P12	unprocessed_pseudogene	chr1	631074	632616	+	1543	1	0	0	1	1	33.46654970760232	1	1	33.46654970760232	1	1543	1	1	0	0	0	0.0	0	0	0	0	0	0	ENST00000414273	1543	0			1	0	0.19706733822469466	1.0
ENSG00000278791	12.865497076023392	0.0505223274853801	ENSG00000278791	miRNA	chr1	632325	632413	-	89	1	0	0	1	1	0.0	1	0	0.0	1	89	1	1	0	0	0	0.0	0	0	0	0	0	0	ENST00000621981	89	0			1	0	0.0	0.0
ENSG00000229344	100.0	126.3952923976609	MTCO2P12	unprocessed_pseudogene	chr1	632757	633438	+	682	1	0	0	1	1	0.0604093567251462	1	0	0.0604093567251462	1	682	1	1	0	0	0	0.0	0	0	0	0	0	0	ENST00000427426	682	0			1	0	0.0004779399262362413	0.0
ENSG00000240409	99.41520467836257	5.061243479532169	MTATP8P1	unprocessed_pseudogene	chr1	633535	633741	+	207	1	0	0	1	1	0.0	1	0	0.0	1	207	1	1	0	0	0	0.0	0	0	0	0	0	0	ENST00000467115	207	0			1	0	0.0	0.0
ENSG00000248527	100.0	1798.9373538011685	MTATP6P1	unprocessed_pseudogene	chr1	633696	634376	+	681	1	0	0	1	1	1247.2494444444442	1	1	1247.2494444444442	1	681	1	1	0	0	0	0.0	0	0	0	0	0	0	ENST00000514057	681	0			1	0	0.6933256690729094	1.0
ENSG00000198744	100.0	155.2706707602339	MTCO3P12	unprocessed_pseudogene	chr1	634376	634922	+	547	1	0	0	1	1	0.23479532163742697	1	1	0.23479532163742697	1	547	1	1	0	0	0	0.0	0	0	0	0	0	0	ENST00000416718	547	0			1	0	0.0015121678839141073	1.0
ENSG00000268663	2.631578947368421	0.010144558479532164	WBP1LP6	processed_pseudogene	chr1	674842	675265	+	424	1	0	0	1	1	0.0	1	0	0.0	1	424	1	1	0	0	0	0.0	0	0	0	0	0	0	ENST00000438434	424	0			1	0	0.0	0.0
ENSG00000284662	1.1695906432748537	0.0085305	OR4F16	protein_coding	chr1	685716	686654	-	939	1	1	0	1	1	0.0055555555555555575	1	0	0.0055555555555555575	1	939	1	1	936	1	1	0.9968051118210862	0	3	1	1	0	0	ENST00000332831	939	936	0.0	3.0	1	1	0.6512579046428179	0.0
ENSG00000230021	0.0	0.0	ENSG00000230021	transcribed_processed_pseudogene	chr1	720024	720206	-	183	1	0	0	1	1	0.0	1	0	0.0	1	183	1	1	0	0	0	0.0	0	0	0	0	0	0	ENST00000636676	183	0			1	0		0.0
ENSG00000229376	11.988304093567251	0.3172390789473685	CICP3	processed_pseudogene	chr1	722092	724903	+	2812	1	0	0	1	1	0.0	1	0	0.0	1	2455	2	2	0	0	0	0.0	0	0	0	0	0	0	ENST00000440782	2455	0			2	0	0.0	0.0
ENSG00000223181	0.5847953216374269	0.001290672514619883	RNU6-1199P	snRNA	chr1	758233	758336	-	104	1	0	0	1	1	0.0	1	0	0.0	1	104	1	1	0	0	0	0.0	0	0	0	0	0	0	ENST00000411249	104	0			1	0	0.0	0.0
ENSG00000229905	3.216374269005848	0.011141207602339182	ENSG00000229905	lncRNA	chr1	760911	761989	+	1079	1	0	0	1	1	0.0	1	0	0.0	1	456	2	2	0	0	0	0.0	0	0	0	0	0	0	ENST00000422528	456	0			2	0	0.0	0.0
ENSG00000237491	49.41520467836257	0.15365416666666668	LINC01409	lncRNA	chr1	778739	810066	+	31328	46	0	0	29	31	0.30763157894736837	46	0	0.04967836257309941	19	8986	76	11	0	0	0	0.0	0	0	0	0	0	0	ENST00000412115	1358	0			5	0	2.0021037217606747	0.0
ENSG00000177757	74.56140350877193	0.3935849210526313	FAM87B	lncRNA	chr1	817363	819842	+	2480	1	0	0	1	1	0.1345614035087719	1	1	0.1345614035087719	1	1960	2	2	0	0	0	0.0	0	0	0	0	0	0	ENST00000326734	1960	0			2	0	0.341886582313396	1.0
ENSG00000228794	100.0	2.2224424912280725	LINC01128	lncRNA	chr1	825138	868835	+	43698	95	0	0	77	48	6.664795321637427	95	14	1.6149707602339176	9	24912	148	13	0	0	0	0.0	0	0	0	0	0	0	ENST00000666741	5819	0			8	0	2.9988606445130594	0.14736842105263157
ENSG00000297178	13.742690058479532	0.0453864707602339	ENSG00000297178	lncRNA	chr1	833098	835618	-	2521	1	0	0	1	1	0.005906432748538012	1	0	0.005906432748538012	1	1689	2	2	0	0	0	0.0	0	0	0	0	0	0	ENST00000745994	1689	0			2	0	0.1301364183996661	0.0
ENSG00000297224	35.67251461988304	0.12543933918128655	ENSG00000297224	lncRNA	chr1	850902	852130	-	1229	2	0	0	2	1	0.007222222222222223	2	0	0.007017543859649123	1	980	4	2	0	0	0	0.0	0	0	0	0	0	0	ENST00000746320	980	0			2	0	0.0575754166863441	0.0
ENSG00000230368	16.95906432748538	0.08751979824561398	FAM41C	lncRNA	chr1	868052	877032	-	8981	29	0	0	18	13	0.12149122807017544	29	0	0.01067251461988304	24	2422	46	6	0	0	0	0.0	0	0	0	0	0	0	ENST00000745834	931	0			4	0	1.3881570856599172	0.0
ENSG00000234711	13.742690058479532	0.05620152046783625	TUBB8P11	unprocessed_pseudogene	chr1	873292	874349	+	1058	1	0	0	1	1	0.007017543859649123	1	0	0.007017543859649123	1	1058	1	1	0	0	0	0.0	0	0	0	0	0	0	ENST00000415481	1058	0			1	0	0.12486395032079632	0.0
ENSG00000283040	0.29239766081871343	0.0036967719298245617	ENSG00000283040	transcribed_unprocessed_pseudogene	chr1	874529	877234	-	2706	1	0	0	1	1	0.00020467836257309944	1	0	0.00020467836257309944	1	837	5	5	0	0	0	0.0	0	0	0	0	0	0	ENST00000635557	837	0			5	0	0.055366781196808344	0.0
ENSG00000296088	5.555555555555555	0.17356276608187132	ENSG00000296088	lncRNA	chr1	882161	889297	+	7137	2	0	0	2	2	0.02257309941520468	2	0	0.02257309941520468	1	759	5	3	0	0	0	0.0	0	0	0	0	0	0	ENST00000736325	378	0			3	0	0.1300572693371153	0.0
ENSG00000272438	70.46783625730994	0.4928808976608187	ENSG00000272438	lncRNA	chr1	904786	921034	+	16249	48	0	0	22	22	0.2492105263157894	48	0	0.025818713450292394	21	10117	63	8	0	0	0	0.0	0	0	0	0	0	0	ENST00000756413	1606	0			4	0	0.5056201761896771	0.0
ENSG00000298603	7.894736842105263	0.026010233918128657	ENSG00000298603	lncRNA	chr1	908073	910592	-	2520	1	0	0	1	1	0.0034502923976608185	1	0	0.0034502923976608185	1	417	2	2	0	0	0	0.0	0	0	0	0	0	0	ENST00000756841	417	0			2	0	0.1326513405654544	0.0
ENSG00000223764	83.33333333333334	0.8053589356725149	LINC02593	lncRNA	chr1	916865	925614	-	8750	8	0	0	8	7	0.7821052631578945	8	3	0.3525146198830406	3	6557	24	6	0	0	0	0.0	0	0	0	0	0	0	ENST00000756700	1015	0			8	0	0.9711263245683088	0.375
ENSG00000187634	100.0	4.985188	SAMD11	protein_coding	chr1	923923	944575	+	20653	15	11	0	10	9	1.5797660818713462	15	3	0.8255847953216382	3	4172	34	14	2682	22	13	0.6428571428571429	639	425	4	2	2	0	ENST00000616016	3465	2532	509.0	424.0	14	14	0.31689197716743	0.2
ENSG00000188976	100.0	48.541245321637426	NOC2L	protein_coding	chr1	944203	959309	-	15107	6	1	0	5	6	28.82412280701754	6	5	19.21233918128655	3	5540	30	19	2247	19	19	0.4055956678700361	16	494	1	1	0	0	ENST00000327044	2757	2247	16.0	494.0	19	19	0.5938068258452589	0.8333333333333334
ENSG00000187961	98.53801169590643	1.9988891725146212	KLHL17	protein_coding	chr1	960584	965719	+	5136	4	1	1	4	4	1.2636549707602336	4	4	0.61766081871345	4	3402	19	10	1926	15	12	0.5661375661375662	110	531	1	1	0	0	ENST00000338591	2567	1926	110.0	531.0	12	12	0.6321786060657599	1.0
ENSG00000187583	75.43859649122807	3.604705423976606	PLEKHN1	protein_coding	chr1	966482	975865	+	9384	5	4	0	4	3	0.7746783625730999	5	1	0.5493859649122812	3	3451	25	15	1989	19	15	0.5763546798029556	50	1293	2	1	0	1	ENST00000379410	3176	1833	50.0	1293.0	16	16	0.21490753652721428	0.2
ENSG00000187642	57.01754385964912	9.494198567251464	PERM1	protein_coding	chr1	975198	982117	-	6920	4	3	0	3	4	6.431169590643273	4	4	3.470175438596489	3	3561	12	4	2400	5	4	0.6739679865206403	197	977	2	1	2	0	ENST00000433179	3520	2370	173.0	977.0	4	3	0.677378879858953	1.0
ENSG00000303599	22.22222222222222	0.3612410263157894	ENSG00000303599	lncRNA	chr1	982505	989967	+	7463	2	0	0	2	2	0.3612280701754385	2	1	0.35415204678362566	1	742	4	3	0	0	0	0.0	0	0	0	0	0	0	ENST00000796003	540	0			2	0	0.9999641343606981	0.5
ENSG00000272512	82.7485380116959	0.9618459619883047	ENSG00000272512	lncRNA	chr1	995966	998051	-	2086	1	0	0	1	1	0.3979824561403511	1	1	0.3979824561403511	1	2086	1	1	0	0	0	0.0	0	0	0	0	0	0	ENST00000606034	2086	0			1	0	0.4137694307284416	1.0
ENSG00000188290	97.07602339181285	2.530622967836257	HES4	protein_coding	chr1	998962	1000172	-	1211	4	3	0	4	4	1.7285380116959068	4	3	0.6712280701754388	3	1118	10	2	741	5	3	0.6627906976744186	199	100	1	1	0	0	ENST00000304952	885	663	124.0	98.0	4	4	0.6830484167990651	0.75
ENSG00000303623	19.298245614035086	0.07765032748538012	ENSG00000303623	lncRNA	chr1	1000715	1001068	+	354	1	0	0	1	1	0.0888888888888889	1	0	0.0888888888888889	1	354	1	1	0	0	0	0.0	0	0	0	0	0	0	ENST00000796159	354	0			1	0	1.144732955641749	0.0
ENSG00000187608	100.0	53.737529383040965	ISG15	protein_coding	chr1	1001138	1014540	+	13403	3	3	0	3	2	50.3459941520468	3	1	50.28283625730996	1	867	6	4	495	4	2	0.5709342560553633	328	65	2	2	2	0	ENST00000649529	637	495	77.0	65.0	2	2	0.9368870271869161	0.3333333333333333
ENSG00000303614	18.421052631578945	0.08030898830409358	ENSG00000303614	lncRNA	chr1	1004058	1006442	-	2385	1	0	0	1	1	0.010526315789473684	1	0	0.010526315789473684	1	555	2	2	0	0	0	0.0	0	0	0	0	0	0	ENST00000796077	555	0			2	0	0.13107269823416673	0.0
ENSG00000231702	99.70760233918129	5.418097181286547	ENSG00000231702	processed_pseudogene	chr1	1008076	1008229	-	154	1	0	0	1	1	0.0	1	0	0.0	1	154	1	1	0	0	0	0.0	0	0	0	0	0	0	ENST00000423619	154	0			1	0	0.0	0.0
ENSG00000224969	14.912280701754385	0.04809084795321639	ENSG00000224969	lncRNA	chr1	1011997	1013193	-	1197	1	0	0	1	1	0.0	1	0	0.0	1	471	2	2	0	0	0	0.0	0	0	0	0	0	0	ENST00000458555	471	0			2	0	0.0	0.0
ENSG00000188157	100.0	11.950864605263158	AGRN	protein_coding	chr1	1020120	1056119	+	36000	10	4	0	9	9	7.487105263157895	10	4	3.9900292397660824	2	10762	54	38	6352	41	40	0.590224865266679	917	1141	3	1	1	0	ENST00000379370	7326	6135	53.0	1138.0	36	36	0.6264906774912817	0.4
ENSG00000291156	56.14035087719298	0.27402652631578933	ENSG00000291156	lncRNA	chr1	1058461	1066464	+	8004	55	0	0	34	18	0.33538011695906433	55	0	0.035175438596491235	21	2902	75	9	0	0	0	0.0	0	0	0	0	0	0	ENST00000799554	933	0			4	0	1.223896538295606	0.0
ENSG00000273443	14.327485380116958	0.11360824561403503	ENSG00000273443	lncRNA	chr1	1061267	1064278	-	3012	2	0	0	2	2	0.002690058479532164	2	0	0.0015497076023391813	2	1694	6	4	0	0	0	0.0	0	0	0	0	0	0	ENST00000800041	1156	0			4	0	0.02367837356340478	0.0
ENSG00000217801	1.7543859649122806	0.007513637426900586	ENSG00000217801	transcribed_unprocessed_pseudogene	chr1	1063079	1069355	+	6277	1	0	0	1	1	0.0	1	0	0.0	1	1219	10	10	0	0	0	0.0	0	0	0	0	0	0	ENST00000412397	1219	0			10	0	0.0	0.0
ENSG00000304119	44.44444444444444	0.29300918713450286	ENSG00000304119	lncRNA	chr1	1065634	1069347	-	3714	10	0	0	6	6	0.42780701754385964	10	2	0.18154970760233916	5	1251	16	5	0	0	0	0.0	0	0	0	0	0	0	ENST00000799880	241	0			2	0	1.4600464296960054	0.2
ENSG00000304169	1.7543859649122806	0.011297625730994156	ENSG00000304169	lncRNA	chr1	1069213	1072933	+	3721	3	0	0	3	3	0.000497076023391813	3	0	0.000497076023391813	1	972	6	3	0	0	0	0.0	0	0	0	0	0	0	ENST00000800220	371	0			2	0	0.04399827319718369	0.0
ENSG00000237330	43.27485380116959	1.044011166666666	RNF223	protein_coding	chr1	1070967	1074306	-	3340	1	1	0	1	1	0.2958479532163744	1	1	0.2958479532163744	1	1900	2	2	747	1	1	0.3931578947368421	300	853	1	1	1	0	ENST00000453464	1900	747	300.0	853.0	2	1	0.2833762345291402	1.0
ENSG00000131591	98.83040935672514	1.9436934941520467	C1orf159	protein_coding	chr1	1081818	1116361	-	34544	19	10	3	14	15	2.175994152046784	19	4	0.8334210526315791	6	6322	51	10	1237	20	10	0.1956659285036381	1629	1078	1	7	7	0	ENST00000421241	1832	594	165.0	1073.0	10	8	1.1195150668526985	0.21052631578947367
ENSG00000285812	9.064327485380117	0.026700704678362563	ENSG00000285812	lncRNA	chr1	1097585	1104598	+	7014	1	0	0	1	1	0.00020467836257309944	1	0	0.00020467836257309944	1	1095	2	2	0	0	0	0.0	0	0	0	0	0	0	ENST00000648183	1095	0			2	0	0.0076656539607722245	0.0
ENSG00000299943	14.619883040935672	0.11799783333333334	ENSG00000299943	lncRNA	chr1	1126312	1129023	-	2712	1	0	0	1	1	0.04646198830409355	1	0	0.04646198830409355	1	1654	2	2	0	0	0	0.0	0	0	0	0	0	0	ENST00000767612	1654	0			2	0	0.39375289352002407	0.0
ENSG00000223823	12.573099415204677	0.051653713450292384	LINC01342	lncRNA	chr1	1137017	1144056	+	7040	1	0	0	1	1	0.009035087719298247	1	0	0.009035087719298247	1	1620	3	3	0	0	0	0.0	0	0	0	0	0	0	ENST00000416774	1620	0			3	0	0.1749165184027462	0.0
ENSG00000304965	6.432748538011696	0.021756815789473683	ENSG00000304965	lncRNA	chr1	1157405	1158254	-	850	1	0	0	1	1	0.0042397660818713455	1	0	0.0042397660818713455	1	850	1	1	0	0	0	0.0	0	0	0	0	0	0	ENST00000807417	850	0			1	0	0.1948707073175026	0.0
ENSG00000207730	2.631578947368421	0.0068850350877192965	MIR200B	miRNA	chr1	1167104	1167198	+	95	1	0	0	1	1	0.0	1	0	0.0	1	95	1	1	0	0	0	0.0	0	0	0	0	0	0	ENST00000384997	95	0			1	0	0.0	0.0
